,"30% Minimum System Storage (GL), 40% Total Cost ($ million), 30% Total Spill Volume (GL) Distance","60% Minimum System Storage (GL), 30% Total Cost ($ million), 10% Total Spill Volume (GL) Distance","20% Minimum System Storage (GL), 50% Total Cost ($ million), 30% Total Spill Volume (GL) Distance","33% Minimum System Storage (GL), 33% Total Cost ($ million), 33% Total Spill Volume (GL) Distance"
320,0.7874633479668577,0.9514029375532547,0.7644125850765876,0.7607740154180391
321,0.7064373603373004,0.5235945258314241,0.7622902503140458,0.6822342501253582
322,0.55485132931354,0.6478751000000398,0.5515258069197425,0.5332431309739458
323,0.8250373468010086,0.5621535150128685,0.9049904386130396,0.7910223323419521
324,0.29884137607273054,0.35145639616244173,0.2657920305874356,0.31462099947561617
325,0.5582671442865335,0.6480578532605069,0.5579763497540209,0.5346274508725171
326,0.5353032802333411,0.6462110615384912,0.5174037253768663,0.522931602372594
327,0.6395192180101457,0.5324872406962244,0.7136184013628704,0.586513034975626
328,0.2910592658318854,0.33840478459467044,0.2552315459878828,0.3101143794944558
329,0.6997588888615306,0.9899386604997735,0.5957866243763478,0.714617489301359
330,0.8870639961804144,0.609671001022041,0.9787894827775441,0.8435350566264314
331,0.7026213985425724,0.9419819602041348,0.6277737762279194,0.7052884486468856
332,0.2480482612030823,0.35860179522149793,0.19573863625258037,0.2695426795165621
333,0.7126667927011188,0.9473847413194951,0.6466718359253725,0.7088247200243352
334,0.7694835683842005,0.5592982581247312,0.8531033988139243,0.7240149955141482
335,1.0540063563351811,0.680211413909423,1.1532275640596361,1.0164552032542948
336,0.9582101202162997,0.6735046528365487,1.0702140042578374,0.8953384216376133
337,0.6934934177113786,1.0166300459410536,0.5659691581555004,0.7196791187337243
338,0.9188560409222508,0.638222021568361,1.0212121154787086,0.8653272546896944
339,0.7161420895048771,0.9612619644074207,0.6398294903310695,0.7182665698598936
340,0.7251756907915501,0.9355634768380607,0.6752205519509926,0.7130514070618061
341,0.4119486015027242,0.40247764697832733,0.42791469988287983,0.39658630774804904
342,0.2637171116624269,0.35592398905099476,0.2122529897751453,0.2876342319445635
343,0.953020059584748,0.6488534845345345,1.049566558577154,0.9082306755137604
344,0.7374144526603843,0.9301255223534953,0.6919010106022832,0.7250373043640189
345,0.6746192072053361,0.9742235644495866,0.5562731170072345,0.6995485989445815
346,0.330320199380547,0.33789105601618036,0.31404404857329815,0.34003414769180523
347,0.7833895409789051,0.5584480938249554,0.8546873165477995,0.7513486754580889
348,0.8203220335555483,0.5656754332263588,0.9000389705227669,0.7851784986042413
349,1.028445548264963,0.6856390376590245,1.1466843289974082,0.9684106105049701
350,0.3996091946052765,0.6178121021913353,0.30620853916666513,0.43016861054394945
351,1.0722327709790813,0.6833102599552752,1.1739675663223936,1.0345481675160344
352,0.534863568791897,0.4332621739044339,0.557316402303947,0.5283637300707358
353,0.9447453652047787,0.974922448236428,0.996173108589848,0.8757155713104178
354,0.7740218308990823,0.930307173873603,0.7562383870679348,0.7449782346831073
355,0.6946061625292681,1.0240813731461498,0.5609300825799175,0.7240911512528893
356,0.2936040151744708,0.330820575771791,0.2791522081002012,0.29706298353708077
357,0.43829663702150223,0.6232452168475354,0.37246676445413296,0.4527681606665619
358,0.7200586173310131,0.9267967326572573,0.6676856882640145,0.7108988824382796
359,0.3737425457957045,0.5264933053935624,0.31525251354936523,0.3900798901856384
360,0.4444000255331775,0.6879531786625255,0.33484163020683605,0.4813234152069936
361,0.7068157862090932,1.018590585596671,0.5834399264583848,0.7318158865144644
362,0.8874283947101317,0.6349246161430464,0.9858178548092147,0.833253687209186
363,0.7150459229512304,0.9671404600119242,0.6337077158320241,0.7197261437179654
364,0.42519674507282834,0.3835912718346361,0.4347143718558509,0.4208567617601031
365,0.8080940656735879,0.5561975632005091,0.8741080085874546,0.7848865133154993
366,0.43172010892111456,0.3814380829573132,0.4399445192785115,0.42988634005842796
367,0.8540791367526548,0.5689654585250958,0.9257114963375142,0.8306512434580797
368,0.7158638354112338,0.9471824338545087,0.6519846027132808,0.7109291832711679
369,0.7613036630408399,0.5419796672770016,0.8393828395877055,0.7226822231968351
370,0.8184599214573469,0.769701425328134,0.8940602132688223,0.7478251375939522
371,0.9735413174556211,0.6633208075581936,1.080575898207721,0.9196080041737176
372,0.871501889683329,0.6052030617410215,0.9615619164324452,0.827886049082621
373,0.2863942813442235,0.37080810338501013,0.2557384521553455,0.29465903151176875
