"","X.TwoWayPipelines.NPI2.NPI2Threshold","X.TwoWayPipelines.NPI2.NPI2FlowThreshold","X.TwoWayPipelines.NPI.NPIThreshold","X.TwoWayPipelines.NPI.NPIFlowThreshold","X.TwoWayPipelines.BrisbanetoNthPineInterconnector.BrisbanetoNthPineThreshold","X.TwoWayPipelines.BrisbanetoNthPineInterconnector.BrisbanetoNthPineFlowThreshold","X.TwoWayPipelines.MaroochytoBaroonInterconnector.MaroochytoBaroonThreshold","X.TwoWayPipelines.EwenMaddocktoBaroonInterconnector.EwenMaddocktoBaroonThreshold","X.TwoWayPipelines.EPI.EPIThreshold","X.TwoWayPipelines.EPI.EPIFlowThreshold","X.TwoWayPipelines.SPI.SPIThreshold","X.TwoWayPipelines.SPI.SPIFlowThreshold","X.WCRWS.PRWThreshold","X.TugunDesalination.TugunDesalOneThirdThreshold","X.TugunDesalination.TugunDesalTwoThirdsThreshold","X.TugunDesalination.TugunDesalFullThreshold","X.SpillVolumes.TotalSpillVolume","X.MinimumSystemStorageNegation","X.Costs.TotalCost","X.Costs.SwitchingCost","X.Costs.PumpingCost","X.Costs.TugunDesalCost","X.Costs.TreatmentCost","X.Costs.PRWCost","X.TugunDesalination.TugunDesalProductionTotal","X.WCRWS.PRWInflow","X.TwoWayPipelines.TwoWayPipelineFlows","X.SwitchCounts.TotalSwitchCount","X.SwitchCounts.BrisbanetoNthPineSwitchCount","X.SwitchCounts.EPISwitchCount","X.SwitchCounts.EwentoBaroonSwitchCount","X.SwitchCounts.MaroochytoBaroonSwitchCount","X.SwitchCounts.NPI2SwitchCount","X.SwitchCounts.NPISwitchCount","X.SwitchCounts.SPISwitchCount","X.EnvironmentalFlows.EnvFlowDeficit","X.Reliability.TotalVolumetricReliability"
"26",0.8055467018,0.865507306,0.8555891675,0.9970949376,0.8891471525,0.0461856946,0.8914318898,0.9477397077,0.6275747112,0.55926249,0.7339962549,0.0104063138,0.9984691333,0.7872087303,0.3433159008,0.5516786864,496556.282754475,432190.338003824,5513303196.82525,240000,28165926.4117318,326449823.296808,4506410017.99674,652037429.11997,468250.44,232,371.898,6,0,0,1,1,3,1,0,35627.832681667,0.9386734114
"27",0.9088787011,0.9012220025,0.9952389254,0.990190068,0.8384871718,0.4779902329,0.9677681011,0.9137987465,0.3480798207,0.8107762015,0.823204708,0.6333960112,0.6830200829,0.0029895201,0.0051762792,0.3142978394,302878.800151081,261032.608813199,5471968485.23471,120000,51748164.3977282,261603568.757991,4506459322.95902,652037429.11997,378637.7,232,349.897,3,0,0,1,1,1,0,0,36411.5966079696,0.9382401289
"28",0.6818646945,0.865507306,0.9509801635,0.9998578144,0.7405489754,0.0009822613,0.7851526495,0.866865375,0.7403557845,0.7477077996,0.971809621,0.0163176735,0.9891076106,0.7425864342,0.3667907721,0.0528177766,440315.462480547,398787.520441438,5391369564.16374,280000,24911439.1441385,201975505.485595,4512165190.41404,652037429.11997,282476.040000006,232,189.897,7,0,0,1,3,3,0,0,36299.7036086973,0.9025404983
"29",0.9692977689,0.8613914488,0.9509801635,0.9998578144,0.7405489754,0.0397739078,0.7851526495,0.755280545,0.7464443005,0.7477077996,0.8943140455,0.0072964008,0.9891076106,0.8169127169,0.3667907721,0.050722786,415988.756659167,398318.887137275,5395189353.37684,280000,26097094.3777449,201975505.485595,4514799324.39354,652037429.11997,282476.040000006,232,349.897,7,0,0,3,3,1,0,0,36372.8565934525,0.9262356039
"30",0.9041226012,0.9425654287,0.9934702893,0.9980902353,0.8264708085,0.000238833,0.8959301553,0.8626357824,0.1271538268,0.8920802077,0.8827861592,0.0032462655,0.5567498709,0.9298076725,0.3386585724,0.5050163781,522099.483600713,430936.871281827,5499158887.96141,120000,24955285.0782168,319022693.976005,4503023479.78722,652037429.11997,457200.8,232,189.897,3,0,0,1,1,1,0,0,36323.5307900283,0.9032191751
"31",0.8415513252,0.9715456251,0.8860514698,0.9997559451,0.4567600086,0.0025707038,0.8418459901,0.930093574,0.5606239937,0.9606174463,0.8805063668,0.008020124,0.5523299818,0.9640997546,0.6665363938,0.2346978896,467909.744683483,415970.203717068,5434090116.319,320000,26766725.4159136,245676116.624389,4509289845.15872,652037429.11997,347433.240000017,232,211.898,8,0,0,1,3,3,1,0,35603.8303383847,0.9120033388
"32",0.9557698185,0.6154915018,0.8620611562,0.9855529507,0.2674698562,6.16083086477873e-05,0.9390947472,0.9549060019,0.7988872396,0.8461601634,0.74214374,0.0274927525,0.9997246315,0.1137865709,0.8572979513,0.3084073807,493386.907240332,422394.43379457,5486570702.66591,160000,29335229.1322528,297832113.121197,4507205931.29249,652037429.11997,425392.52000001,232,205.898,4,0,0,1,1,1,1,0,36758.3806653017,0.9185052512
"33",0.9041226012,0.9424414082,0.997244285,0.9980902353,0.8173490157,0.0269470648,0.7991135584,0.7995922036,0.0794721077,0.9642766809,0.4110893915,0.0032462655,0.5567498709,0.938635265,0.3386585724,0.0179448445,432767.25452842,396711.909034902,5386888353.35214,280000,25242067.7937553,195987557.673595,4513341298.76482,652037429.11997,273610.260000004,232,189.897,7,0,0,3,3,1,0,0,36323.9196536344,0.9097327372
"35",0.9304968441,0.714404191,0.7884304385,0.8939085638,0.56296048,0.0010553227,0.8941976697,0.9814073435,0.1646509726,0.5270430043,0.9754258773,0.0109929653,0.692987052,0.0862011296,0.0134156654,0.0002956896,347996.322515439,347226.865674364,5207068610.75692,160000,26710012.4007229,1211472.84720004,4526949696.38903,652037429.11997,14571.4799999993,232,205.898,4,0,0,1,1,1,1,0,38533.1782674094,0.9135606724
"37",0.8771963018,0.97269018,0.9243701012,0.0431042788,0.6858716293,0.0111012692,0.9711459183,0.8520603965,0.2751232763,0.7748535328,0.9013750508,0.7402041858,0.9038112951,0.0594965952,0.2516322353,0.2310854047,314820.954978149,324446.419935974,5408651259.85776,280000,46509589.707264,188330476.832393,4521493764.19813,652037429.11997,275174.339999996,232,144.897,7,0,0,3,1,3,0,0,39215.6099839461,0.948368535
"39",0.8753469405,0.9955459881,0.9971011859,0.9968895713,0.7743238369,0.4678920385,0.9123165022,0.9978089814,0.8634536463,0.9541134287,0.5113291346,0.7593159979,0.5366069265,0.0813378666,0.10446957,0.0670704745,304090.183212077,147619.644459842,5265583706.33303,680000,51644550.3825734,38671119.8999987,4522550606.93049,652037429.11997,65180.6400000003,232,349.897,17,0,14,1,1,1,0,0,36369.5695814078,0.9381841117
"40",0.9002882972,0.9854013161,0.9605038859,0.9984326989,0.6225384195,0.4666127723,0.9111867204,0.9509295543,0.7320570031,0.9567986129,0.7023044662,0.9427284094,0.2641527772,0.4107402275,0.3698407991,0.2879562933,303091.265691697,265858.459057126,5480351663.58014,120000,51774190.6845651,270559696.08359,4505860347.69201,652037429.11997,389155.34,232,349.897,3,0,0,1,1,1,0,0,36375.3308507148,0.9379915922
"41",0.8402200408,0.8656632425,0.9164395341,0.9998218197,0.7995417816,0.6814969058,0.9984237539,0.9990943961,0.5887895421,0.5791446815,0.5859164976,0.9923325104,0.9224480303,0.1401395288,0.2858736702,0.0194536006,302744.337280317,226223.405352088,5382933267.31609,120000,51773552.0736184,165190457.628001,4513811828.4945,652037429.11997,236112.239999997,232,349.897,3,0,0,1,1,1,0,0,36369.4398484292,0.9381868788
"43",0.9964351936,0.7355705652,0.884408774,0.9987982907,0.6534223295,0.0006570514,0.9592703702,0.8435489977,0.617158013,0.5987370455,0.3786290727,0.0007318067,0.558055876,0.7062852788,0.2306276501,0.2309620216,409499.496917617,392533.615805322,5356223437.51903,240000,26743138.7673025,161495676.929992,4515707192.70176,652037429.11997,222841.500000017,232,211.898,6,0,0,3,1,1,1,0,35646.7563452063,0.9119750199
"45",0.886821265,0.9999976674,0.8757298641,0.9985171296,0.2988253959,0.4830356772,0.9935623314,0.9181405571,0.1562590588,0.7981109081,0.6660599937,0.6751331184,0.4872917888,0.0763170791,0.230375135,0.0562278899,302559.308164605,213651.598433601,5358262945.26072,120000,51773552.0736184,138646204.418404,4515685759.64873,652037429.11997,200250.119999999,232,349.897,3,0,0,1,1,1,0,0,36373.21262742,0.9381868834
