NPI2 Threshold,NPI2 Flow Threshold,NPI Threshold,NPI Flow Threshold,Brisbane to Nth Pine Threshold,Brisbane to Nth Pine Flow Threshold,Maroochy to Baroon Threshold,Ewen Maddock to Baroon Threshold,EPI Threshold,EPI Flow Threshold,SPI Threshold,SPI Flow Threshold,PRW Threshold,Desalination 1/3 Production Threshold,Desalination 2/3 Production Threshold,Desalination Full Production Threshold,Total Spill Volume (GL),Minimum System Storage (GL),Total Cost ($ million),Switching Cost ($ million),Pumping Cost ($ million),Desalination Cost ($ million),Treatment Cost ($ million),PRW Cost ($ million),Desalination Total Production Volume (GL),PRW Inflow (GL),Two Way Pipeline Flow (GL),Total Switch Count,Brisbane to Nth Pine Switch Count,EPI Switch Count,Ewen to Baroon Switch Count,Maroochy to Baroon Switch Count,NPI2 Switch Count,NPI Switch Count,SPI Switch Count,Environmental Flow Deficit,Total Volumetric Reliability
0.8415513252,0.9219673166,0.909077835,0.997575546,0.42807738,0.0266444022,0.8087547412,0.8123891366,0.5907670945,0.9106585869,0.9156139327,0.0272710706,0.6834017998,0.9169003621,0.6665363938,0.2631459685,474.586433045,417.922405439,5459.41180463,0.28,27.3422402002,270.846527927,4508.90560738,652.03742912,385.05628,0.232,0.189897,7,0,0,3,3,1,0,0,36331.3553152,0.9140714701
0.886821265,0.9999963105,0.8757298641,0.9456802076,0.2988253959,0.5180613032,0.9396451182,0.8583475255,0.2578301091,0.7981109081,0.6660599937,0.6285248945,0.5142385597,0.0763170791,0.1197878894,0.0326193399,303.278834083,157.292055704,5279.2798102,0.2,51.664821411,53.6797864344,4521.69777324,652.03742912,85.45782,0.232,0.349897,5,0,0,3,1,1,0,0,36427.0763835,0.9384221851
0.8851374336,0.7416644196,0.903811917,0.9999983895,0.4876203985,0.0499203511,0.9376069316,0.9794692051,0.7196691024,0.5051082408,0.942960395,0.0033900994,0.5793473429,0.3988026216,0.9574887809,0.5541531376,500.159945637,435.214159196,5516.35472636,0.12,26.386008644,332.380922866,4505.43036573,652.03742912,477.03376,0.232,0.349897,3,0,0,1,1,1,0,0,36443.1543746,0.9310355597
0.8386196671,0.9654062351,0.9276868911,0.9221467888,0.913777259,0.0027929282,0.856786208,0.9985204212,0.1194600708,0.6202504734,0.6290911707,0.0454248602,0.9293225832,0.2219094058,0.9810774234,0.1962773305,410.751923572,405.856277386,5428.16932456,0.2,31.9273681234,228.855505225,4515.14902209,652.03742912,322.29092,0.232,0.189897,5,0,0,1,1,3,0,0,36706.8152448,0.923338446
0.8495658566,0.5601482405,0.6982068139,0.92275914,0.3788424637,0.7999536242,0.7859727286,0.8404749301,0.45020732,0.8377334883,0.7946538669,0.634426422,0.2606192567,0.0468964737,0.1394629893,0.0552602847,304.572680476,173.502484236,5302.79931498,0.2,51.5832229795,78.98365398,4519.9950089,652.03742912,119.64414,0.232,0.349897,5,0,0,1,3,1,0,0,36428.121428,0.9380850237
0.9969561106,0.9084340048,0.9369850994,0.987393724,0.6798191543,0.0020337962,0.9624311015,0.9522342722,0.3322081957,0.8902084773,0.8152969766,1.18711104553e-05,0.9609413963,0.0710781288,0.7649731945,0.5486549254,529.799031766,435.341679937,5510.46468613,0.12,24.9068385697,331.170806938,4502.2296115,652.03742912,475.22496,0.232,0.189897,3,0,0,1,1,1,0,0,36308.920118,0.9036521965
0.9988837328,0.8651273849,0.9545492034,0.9970993923,0.8400162926,0.0010703248,0.9863867557,0.8046265373,0.536844176,0.4414578165,0.2066964014,0.0311889122,0.9250878496,0.4453643954,0.7019082956,0.4542832696,507.244831537,433.328397666,5512.08553125,0.2,28.9388928383,325.785791058,4505.12341824,652.03742912,467.1758,0.232,0.189897,5,0,0,3,1,1,0,0,36327.6246264,0.9133421515
0.8303071867,0.6545264756,0.8389100587,0.994791163,0.9520169043,0.0060607254,0.9899240457,0.9892776565,0.8076214953,0.8285624758,0.655559394,0.0054773228,0.4578873621,0.6049259663,0.9917458299,0.2523951248,480.832185636,416.852114059,5453.37523489,0.24,26.9602213465,266.127075808,4508.01050862,652.03742912,378.00196,0.232,0.205898,6,0,0,1,1,3,1,0,36909.9008515,0.9119346108
0.9456765906,0.6899576907,0.9772372956,0.9985582679,0.8862543252,0.0034569299,0.8228841347,0.9184276381,0.0151084673,0.9712445325,0.7670026864,0.0200753416,0.5971188332,0.1234494684,0.0107064352,0.2218341208,358.61798115,370.971100131,5255.15101731,0.2,24.9316120408,56.0211485988,4521.96082755,652.03742912,91.20342,0.232,0.189897,5,0,0,1,3,1,0,0,36338.2694868,0.903180103
0.9066103277,0.8833773859,0.9778972696,0.0379640586,0.9594171553,0.0002492698,0.9283080823,0.9596190579,0.4176721508,0.4338352943,0.9055695705,0.010361656,0.9417636044,0.2746998395,0.0868555719,0.0192044077,324.914569537,346.168199567,5268.99464679,0.12,23.1495678873,71.3378394624,4522.34981032,652.03742912,100.99488,0.232,0.144897,3,0,0,1,1,1,0,0,39616.1621356,0.9165146475
