,Minimum System Storage (GL),Total Cost ($ million),Total Spill Volume (GL)
154,0.7921493629531503,0.12146014607709363,0.086390490969756054
155,0.46383143163897206,0.22629876949165184,0.30986979886937605
156,0.33009099069223369,0.29939784573029604,0.37051116357747022
157,0.89524463643764574,0.087065716348251956,0.017689647214102256
158,0.47947374027805223,0.18296328361013578,0.33756297611181202
159,0.19802916934587073,0.2484516494142765,0.55351918123985289
160,0.26681893987172223,0.15302524331904549,0.58015581680923223
161,0.77728742039810017,0.13215332263651944,0.09055925696538035
162,0.53811602211941134,0.16389446683997239,0.29798951104061627
163,0.26593331422498623,0.2723330882265379,0.46173359754847576
164,0.27039277205956108,0.39811602414580605,0.33149120379463293
165,0.54077695563674688,0.23191483375181268,0.22730821061144046
166,0.33421306653360866,0.33798607948275883,0.32780085398363235
167,0.8476464971021791,0.044147630155212288,0.10820587274260858
168,0.47045982709356909,0.22480848943196613,0.30473168347446478
169,0.67410900034185373,0.12677618041399186,0.19911481924415428
170,0.79966772337826331,0.033408465670182227,0.16692381095155442
171,0.88030025213678142,0.0734118003653291,0.046287947497889406
172,0.81367915710761374,0.087567185176530365,0.098753657715855939
173,0.72901027964686704,0.10186071925518929,0.16912900109794368
174,0.13406121096218929,0.30714779500943168,0.55879099402837906
175,0.27938886081296982,0.38164336203905419,0.33896777714797593
176,0.38064139545233822,0.27258095410171229,0.34677765044594955
177,0.44089972959612134,0.27263177316409914,0.28646849723977952
178,0.41488157847495821,0.24470948012736241,0.34040894139767941
179,0.35490180804118343,0.16444514197056742,0.48065304998824915
180,0.012787111645408966,0.45830171107994216,0.52891117727464876
181,0.23978110777510159,0.34125209012537305,0.41896680209952536
182,0.23775619322733829,0.31465962606470538,0.44758418070795625
183,0.25143829003872931,0.29843281740933503,0.45012889255193572
184,0.79525792369676052,0.12610646642629733,0.07863560987694225
185,0.29453392612596346,0.26151623541687535,0.44394983845716129
186,0.27082339260856669,0.26646256361028126,0.46271404378115205
187,0.49085814096100139,0.24325524997676637,0.26588660906223227
188,0.020950626645923773,0.44924764534749467,0.52980172800658154
189,0.456364546740748,0.19379486413155822,0.34984058912769378
190,0.60047221449736476,0.076003276165846997,0.32352450933678828
191,0.48610993281694526,0.13336918840897619,0.38052087877407859
192,0.32491138754599197,0.3654815067366361,0.30960710571737188
193,0.93175258593496946,0.068247414065030487,0.0
194,0.06026325346082019,0.39095167051328966,0.54878507602589011
195,0.14398960784328507,0.43430331783759396,0.42170707431912097
196,0.74164870911602576,0.05874772986008419,0.19960356102388985
197,0.5207307852717219,0.19191858336886361,0.28735063135941458
198,0.38815065155022466,0.26755508015981971,0.34429426828995568
199,0.065640234967453054,0.37991067666487682,0.55444908836767015
200,0.80625338571606953,0.034579204590199156,0.15916740969373144
201,0.15128497075785574,0.42715731571922538,0.42155771352291893
202,0.049226781484937573,0.39869299828319293,0.55208022023186942
203,0.26150521635056934,0.4017870988291054,0.33670768482032531
204,0.74065101185599846,0.14846837763289761,0.11088061051110377
205,0.1740619050099223,0.41067990237658486,0.41525819261349289
206,0.77577776011995303,0.091159174715305297,0.13306306516474178
207,0.2185000202068515,0.37238045839268208,0.40911952140046659
208,0.074460310577445579,0.39055268843332069,0.53498700098923369
209,0.69031631329763943,0.1235039072637221,0.18617977943863837
210,0.33116212222226094,0.32766840626934374,0.34116947150839533
211,0.24402716174300845,0.41058818212572462,0.34538465613126701
212,0.29773315205058165,0.22962949359330964,0.47263735435610876
213,0.5646087530447883,0.21988853478113196,0.21550271217407974
214,0.70456056020576419,0.11392980578137156,0.18150963401286416
215,0.26073052777540012,0.28292349537129269,0.45634597685330719
216,0.24193300449221039,0.31252759953123305,0.44553939597655656
217,0.35139011555963684,0.30127350613933979,0.34733637830102343
218,0.28429134851787619,0.36987249349900597,0.34583615798311784
219,0.033709238647320068,0.43249443244422853,0.53379632890845141
220,0.3781314583452221,0.14133460678682436,0.48053393486795348
221,0.21986660527181223,0.37271310039389316,0.4074202943342945
222,0.35513758769535947,0.26230320680911029,0.38255920549553019
223,0.099113209554900814,0.3618079429007301,0.53907884754436919
224,0.49316766553351138,0.21207985826077633,0.29475247620571221
225,0.84265541135759692,0.10207385126397901,0.055270737378424091
226,0.75170843371864005,0.14358538342601665,0.10470618285534329
227,0.31933538505877779,0.3618981481255556,0.31876646681566678
228,0.29813395572049933,0.37623423271565426,0.32563181156384635
229,0.70949457655339454,0.016834680333613766,0.27367074311299178
230,0.5618238896700144,0.19788461701585988,0.24029149331412564
231,0.28426633497969583,0.35029433070870242,0.36543933431160175
232,0.5053010354170514,0.22135232873148261,0.2733466358514659
233,0.05660058636254451,0.40028929978901273,0.54311011384844277
234,0.57197954318681932,0.22995015454953621,0.19807030226364447
235,0.110783073972503,0.35156059264547285,0.53765633338202423
236,0.42888951333133912,0.27855407069980015,0.29255641596886084
237,0.3958223824970234,0.27260085587145916,0.33157676163151739
238,0.54541628725450542,0.19167190215546262,0.26291181059003188
239,0.3794893081090765,0.29860242873767961,0.32190826315324378
240,0.69247125711527835,0.019047314354832132,0.28848142852988945
241,0.24551944563812092,0.17707862994360235,0.57740192441827676
242,0.20676049831063334,0.36679688947393874,0.42644261221542784
243,0.78430444714306069,0.093005839471884316,0.1226897133850549
244,0.2762301946468611,0.26020825572385092,0.46356154962928797
